,No,Name,Pos,Ht,Wt,Class,Hometown,State
8.0,--,Chuck Davisa,CB,5-10,170,FR,Fairfax,VA
16.0,--,Darious Latimorea,CB,6-0,170,SO,Lawrenceville,GA
29.0,5,Tim Harrisa,CB,6-2,205,SR,Richmond,VA
38.0,14,Myles Robinsona,CB,5-11,195,SO,Olney,MD
54.0,31,Kareem Gibsona,CB,5-11,170,FR,Johnstown,PA
55.0,32,Kirk Garnera,CB,5-11,180,JR,Baltimore,MD
10.0,9,Khalil Ladlera,CB,5-11,178,FR,Stone Mountain,GA
31.0,27,Shawn Paynea,CB,6-3,185,SO,Chesterfield,VA
33.0,28,Curtis Williamsa,CB,5-9,176,JR,Amelia,VA
34.0,29,DuWayne Johnsona,CB,6-2,180,FR,Washington,DC
37.0,31,Brandon Facysona,CB,6-2,191,JR,Newnan,GA
41.0,35,Erikk Banksa,CB,5-10,173,JR,Coeburn,VA
43.0,36,Adonis Alexandera,CB,6-3,197,SO,Charlotte,NC
52.0,42,Elisha Boyda,CB,6-0,175,SO,Newport News,VA
2.0,2,Jeremy Petersa,CB,5-10,190,SO,Green Cove Springs,FL
7.0,6,Tyrin Hollowaya,CB,6-0,195,JR,Humble,TX
10.0,8,Jimmy Faulksa,CB,6-1,175,FR,--,--
21.0,14,Cam Jacksona,CB,6-1,205,SO,Houston,TX
22.0,15,T.J. Tillerya,CB,5-10,195,SO,Charlottesville,VA
29.0,21,Wesley Scotta,CB,5-10,175,SR,Lorton,VA
32.0,24,Malik Matthewsa,CB,5-11,185,FR,Jacksonville,FL
35.0,27,Cameron Jonesa,CB,5-11,195,SO,New Orleans,LA
40.0,32,Jermaine Copelanda,CB,5-9,190,FR,Farmville,VA
46.0,39,Chris Turnera,CB,6-3,175,SO,Columbia,SC
