,No,Name,Pos,Ht,Wt,Class,Hometown,State
0.0,--,Naji Abdullaha,DE,6-5,235,FR,Jacksonville,FL
2.0,--,Christian Baumgardnera,DE,6-6,235,FR,Longport,NJ
34.0,9,Andrew Browna,DE,6-4,290,JR,Chesapeake,VA
44.0,20,Steven Wrighta,DE,6-4,255,FR,Waycross,GA
77.0,58,Eli Hanbacka,DE,6-4,270,FR,Ashland,VA
78.0,59,Mark Halla,DE,6-2,260,SR,Virginia Beach,VA
99.0,90,Jack Powersa,DE,6-5,280,JR,Santa Cruz,CA
3.0,4,Ken Ekanema,DE,6-3,253,SR,Centreville,VA
13.0,11,Houshun Gainesa,DE,6-4,231,FR,Rocky Mount,NC
54.0,43,Seth Dooleya,DE,6-6,239,JR,Salem,VA
58.0,47,Darius Fullwooda,DE,6-4,262,FR,College Park,MD
111.0,94,Trevon Hilla,DE,6-5,234,FR,Virginia Beach,VA
113.0,96,Jimmie Taylora,DE,6-3,225,FR,Jacksonville,NC
48.0,42,Erwin Dessourcesa,DE,6-1,235,SR,Randolph,MA
50.0,44,Dia'Vante Browna,DE,6-2,245,JR,Greensboro,NC
55.0,52,Michael Andersona,DE,6-3,220,FR,Fort Lauderdale,FL
57.0,54,Juwan Wellsa,DE,6-2,255,SO,Dublin,GA
58.0,55,Tolen Averya,DE,6-4,270,SO,Galveston,TX
86.0,91,Javon Fraziera,DE,6-2,245,FR,Stafford,VA
87.0,94,John Roughtona,DE,6-3,225,JR,--,--
88.0,95,Devin Fishera,DE,6-1,235,FR,Radford,VA
