,No,Name,Pos,Ht,Wt,Class,Hometown,State
4.0,--,Christian Brooksa,DL,6-5,240,FR,Centreville,VA
7.0,--,Osiris Crutchfielda,DL,6-3,245,FR,Crozet,VA
21.0,--,Alec Shiffletta,DL,6-2,220,JR,Afton,VA
65.0,52,Clay Deana,DL,6-2,255,FR,Purcellville,VA
69.0,55,Jarrod Hewitta,DL,6-1,290,FR,Venice,FL
116.0,99,Vinny Mihotaa,DL,6-5,270,SO,Fredericksburg,VA
51.0,47,Ben Thomasa,DL,6-2,245,JR,Greenwood,SC
71.0,75,Gregg Storeya,DL,6-5,345,SO,Cary,NC
85.0,90,Will Browna,DL,6-2,300,SO,Texarkana,TX
10.0,12,Terrell Reida,DL,6-2,245,SR,Washington,DC
14.0,17,Rodney Smitha,DL,6-3,235,SR,Pembroke Pines,FL
21.0,24,Jay Andersona,DL,6-1,215,SR,Richmond,VA
38.0,41,Hadji Gaylorda,DL,6-3,265,SO,Norfolk,VA
46.0,50,Jonathan Okafora,DL,6-2,220,JR,Woodbridge,VA
62.0,70,Deshaywn Middletona,DL,6-2,305,SO,Winston-salem,NC
67.0,79,Josh Culbersona,DL,6-5,285,FR,Chesapeake,VA
78.0,90,Walter Brantleya,DL,6-2,345,SO,Hampton,VA
81.0,93,Ray Prosisea,DL,6-1,265,SR,Petersburg,VA
82.0,94,Josh Bryanta,DL,6-5,265,FR,Ellicott City,MD
83.0,95,Chris Leea,DL,6-3,280,JR,Woodbridge,VA
84.0,96,Ian Williamsa,DL,6-2,265,FR,Richmond,VA
85.0,97,Trey Millsa,DL,6-2,290,SR,Chesapeake,VA
86.0,98,Cornelius Tylera,DL,6-3,295,SO,Richmond,VA
87.0,99,Kevin Williamsa,DL,6-4,310,SR,Bradenton,FL
