,No,Name,Pos,Ht,Wt,Class,Hometown,State
5.0,--,Dre Bryanta,LB,6-3,220,FR,Charlottesville,VA
9.0,--,Dillon Davisa,LB,6-2,210,FR,Bellaire,TX
13.0,--,Michael Guercia,LB,6-2,220,SO,Franklin Lakes,NJ
20.0,--,Dominic Shepparda,LB,6-2,220,FR,Miami,FL
37.0,13,Chris Peacea,LB,6-1,230,SO,Newport News,VA
41.0,17,Malcolm Cooka,LB,6-1,220,JR,Richmond,VA
50.0,27,Cory Jonesa,LB,6-5,220,SO,Washington,DC
52.0,29,Eric Gallona,LB,6-2,220,SO,Lakeland,FL
58.0,36,Gladimir Paula,LB,6-2,215,FR,Philadelphia,PA
62.0,40,C.J. Stalkera,LB,6-2,225,SO,West Chester,OH
64.0,42,Jahvoni Simmonsa,LB,6-1,225,FR,Virginia Beach,VA
65.0,43,Sean Fitzgeralda,LB,5-11,225,FR,Falls Church,VA
67.0,45,Reed Kellama,LB,6-1,225,FR,Richmond,VA
71.0,51,Zach Bradshawa,LB,6-3,230,SR,Damascus,MD
72.0,52,Robert Snydera,LB,6-4,220,FR,Lawrenceville,GA
73.0,53,Micah Kisera,LB,6-2,240,JR,Baltimore,MD
74.0,54,Matt Terrella,LB,6-4,225,FR,Lynchburg,VA
101.0,95,Juwan Moyea,LB,6-3,255,FR,Lilburn,GA
102.0,98,Landan Worda,LB,6-5,245,FR,Vienna,VA
17.0,14,Tavante Becketta,LB,6-0,215,FR,Chesapeake,VA
21.0,18,Raymon Minora,LB,6-2,231,SO,Ashland,VA
26.0,22,Terrell Edmundsa,LB,6-1,201,SO,Danville,VA
28.0,24,Anthony Shegoga,LB,6-3,212,JR,Stafford,VA
35.0,30,Eron Cartera,LB,6-2,230,FR,Palatka,FL
44.0,36,Alden Carpentera,LB,6-1,192,JR,Leesburg,VA
45.0,37,Johnathan Galantea,LB,5-9,210,SR,Blacksburg,VA
48.0,40,Emmanuel Belmara,LB,6-2,230,FR,Suwanee,GA
55.0,44,Tre Hubbarda,LB,6-0,230,FR,Virginia Beach,VA
59.0,48,Daniel Griffitha,LB,6-1,225,FR,Suffolk,VA
61.0,49,Tremaine Edmundsa,LB,6-5,236,SO,Danville,VA
67.0,53,Trent Younga,LB,5-10,212,SO,Richmond,VA
68.0,54,Andrew Motuapuakaa,LB,6-0,235,JR,Virginia Beach,VA
70.0,56,Sean Huelskampa,LB,6-1,207,JR,Centreville,VA
73.0,58,Zack Tresera,LB,6-4,221,FR,Blacksburg,VA
76.0,61,Joe Koshutaa,LB,6-2,240,FR,Vienna,VA
108.0,92,Matt Reinharta,LB,6-2,225,FR,Shoemakersville,PA
5.0,4,Jaylyn McKinneya,LB,6-0,225,FR,Lake Wales,FL
6.0,5,Lucas Ironsa,LB,6-0,215,SO,Fort Lauderdale,FL
12.0,9,Nick Newmana,LB,6-4,215,SR,Gainesville,VA
19.0,13,Korell Evansa,LB,6-1,215,FR,Hallandale,FL
33.0,25,Aaron Glovera,LB,5-11,210,FR,Norfolk,VA
38.0,30,Dexter Robbinsa,LB,5-11,225,SR,Sevierville,TN
52.0,48,David Kinga,LB,6-1,230,SO,Stuarts Draft,VA
53.0,49,Jason Pittsa,LB,6-0,200,JR,Detroit,MI
9.0,11,Anthony Smitha,LB,6-1,230,JR,Norfolk,VA
28.0,31,Kyle Archiea,LB,6-1,220,JR,Virginia Beach,VA
37.0,40,Nigel Chavisa,LB,6-2,220,FR,Richmond,VA
42.0,46,Raynard Revelsa,LB,6-1,235,SR,Richmond,VA
43.0,47,Damiyan Caldwella,LB,6-1,195,JR,Norfolk,VA
47.0,51,Kyron Spellera,LB,6-1,235,FR,Virginia Beach,VA
49.0,54,T.C. Livingstona,LB,6-3,200,JR,Suffolk,VA
50.0,55,Antwan Whitea,LB,6-1,200,JR,Chesapeake,VA
51.0,56,Cephas Hardena,LB,6-1,215,FR,Goochland,VA
79.0,91,James Byersa,LB,6-3,200,SO,Petersburg,VA
80.0,92,James Chapmana,LB,6-1,225,FR,Portsmouth,VA
