,No,Name,Pos,Ht,Wt,Class,Hometown,State
19.0,--,Dillon Reinkensmeyera,OL,6-6,275,FR,Highlands Ranch,CO
80.0,65,Ben Knutsona,OL,6-9,310,FR,Granger,IN
62.0,50,Patrick Kearnsa,OL,6-5,280,FR,Adairsville,GA
64.0,52,Austin Cannona,OL,6-3,315,FR,Mechanicsville,VA
71.0,56,T.J. Jacksona,OL,6-3,330,FR,Cumberland,VA
72.0,57,Wyatt Tellera,OL,6-5,304,JR,Bealeton,VA
75.0,61,Kyle Chunga,OL,6-4,290,JR,Ponte Vedra Beach,FL
77.0,62,D'Andre Plantina,OL,6-5,290,FR,Norcross,GA
78.0,63,Daniel Baileya,OL,6-4,296,FR,Abingdon,VA
79.0,64,Eric Galloa,OL,6-2,297,JR,Richboro,PA
80.0,65,Matt Christa,OL,6-4,274,FR,Sterling,VA
81.0,66,Billy Mitchella,OL,6-3,284,SO,Westwood,NJ
82.0,67,Parker Osterloha,OL,6-8,336,JR,Williamsburg,VA
83.0,68,Connor Kisha,OL,6-2,280,FR,Oceanside,CA
84.0,69,Yosuah Nijmana,OL,6-8,298,SO,Maplewood,NJ
85.0,70,Kevin Kisha,OL,6-2,280,FR,Oceanside,CA
86.0,71,Jonathan McLaughlina,OL,6-5,300,SR,Mauldin,SC
87.0,72,Augie Contea,OL,6-6,303,SR,Richmond,VA
88.0,74,Braxton Pfaffa,OL,6-5,295,SO,Lynchburg,VA
89.0,75,Zachariah Hoyta,OL,6-5,286,FR,Salem,VA
90.0,76,Jarrett Hopplea,OL,6-6,280,FR,Suffolk,VA
91.0,77,Demetri Moorea,OL,6-5,305,JR,Fairborn,OH
92.0,79,Tyrell Smitha,OL,6-3,292,FR,North Brunswick,NJ
94.0,80,Colt Pettita,OL,6-4,298,SO,Deshler,OH
54.0,51,Trystin Knowlanda,OL,6-6,275,FR,Manchester,CT
56.0,53,Joshua Carlina,OL,6-3,245,FR,Forest,VA
59.0,56,Dontae Duffa,OL,6-1,310,FR,Mesquite,TX
61.0,59,Damian Boundsa,OL,6-2,260,FR,Ellenwood,GA
62.0,63,Aidan Burroughsa,OL,6-3,275,FR,Norfolk,NE
63.0,65,Thomas Sargeanta,OL,6-3,270,FR,Mechanicsville,VA
64.0,66,Ethan Crawforda,OL,6-3,295,FR,Augusta,GA
65.0,67,Michael Hendermana,OL,6-3,300,JR,Atlanta,GA
66.0,68,Tanner Hartmana,OL,6-4,280,JR,Christiansburg,VA
67.0,69,Devin Crispa,OL,6-1,295,SR,Oklahoma City,OK
68.0,70,Lucas Holdera,OL,6-4,295,JR,Hillsville,VA
69.0,73,Sam Isaacsona,OL,6-6,305,FR,Lynchburg,VA
70.0,74,Julio Lozanoa,OL,6-4,270,SO,Bellaire,TX
73.0,77,James Passmorea,OL,6-6,295,SO,Dallas,NC
74.0,77,Daniel Zapataa,OL,6-2,255,FR,Guttenberg,NJ
75.0,78,Ernst Andersena,OL,6-7,300,FR,--,--
76.0,79,Aharown Campbella,OL,6-5,355,SR,Teaneck,NJ
48.0,52,Louis Humphreya,OL,6-1,290,SR,Chester,VA
52.0,57,Lamonte Clarka,OL,6-3,310,SR,Washington,DC
53.0,58,Daniel Oladimejia,OL,6-2,295,SR,Upper Marlboro,MD
54.0,59,Jordan Crocketta,OL,6-5,325,FR,Max Meadows,VA
55.0,60,Wes Jonesa,OL,6-1,270,SO,Wilmington,DE
56.0,61,Anthonee Moorea,OL,6-2,270,FR,Buckingham,VA
57.0,62,Dominic Jordana,OL,6-2,280,FR,Chesapeake,VA
58.0,63,Jermaine Sumnera,OL,6-4,270,FR,Virginia Beach,VA
59.0,65,Craig Rodwella,OL,6-4,270,FR,Richmond,VA
60.0,66,Taro Lipscomba,OL,6-3,290,FR,Washington,DC
61.0,69,Jake Mazgajewskia,OL,6-6,290,JR,Hampton,VA
63.0,71,Jake O'Sullivana,OL,6-4,290,FR,Chesapeake,VA
64.0,75,Kevin Statona,OL,6-6,320,FR,Chesapeake,VA
65.0,76,Mike Carneya,OL,6-5,340,FR,Norfolk,VA
66.0,77,Kenneth Kirbya,OL,6-5,275,FR,Newport News,VA
