,No,Name,Pos,Ht,Wt,Class,Hometown,State
12.0,--,Nash Griffina,PK,6-4,215,FR,Indianapolis,IN
93.0,84,Alex Furbanka,PK,6-0,220,SO,Fairfax,VA
98.0,89,Sam Haywarda,PK,6-0,165,JR,Dallas,TX
100.0,91,Dylan Simsa,PK,6-0,190,SR,Lynchburg,VA
42.0,35,Michael Santamariaa,PK,5-8,168,SO,Athens,GA
57.0,46,Joey Slyea,PK,6-1,207,JR,Stafford,VA
109.0,92,Robert Warfela,PK,5-10,164,SR,--,--
13.0,10,Alex Proberta,PK,5-9,170,FR,Andover,MN
15.0,11,Cole Gibsona,PK,6-1,235,FR,Chesapeake,VA
11.0,13,Cameron Maroufa,PK,5-9,160,SR,Woodbridge,VA
36.0,39,Bo Lomaxa,PK,5-11,220,SO,Hampton,VA
