,No,Name,Pos,Ht,Wt,Class,Hometown,State
1.0,--,Sonny Abramsona,QB,6-2,210,FR,Chester,NJ
6.0,--,De'Vante Crossa,QB,6-2,200,FR,Allentown,PA
31.0,6,Kurt Benkerta,QB,6-4,230,JR,Cape Coral,FL
39.0,15,Matt Johnsa,QB,6-5,215,SR,Chalfont,PA
40.0,16,Connor Brewera,QB,6-2,195,SR,Scottsdale,AZ
103.0,99,Joe Spaziania,QB,6-2,210,SO,Hingham,MA
4.0,4,Jerod Evansa,QB,6-4,235,JR,Dallas,TX
11.0,9,Brenden Motleya,QB,6-3,225,SR,Christiansburg,VA
12.0,11,Jack Clicka,QB,6-3,216,FR,Glen Allen,VA
14.0,12,Josh Jacksona,QB,6-2,207,FR,Ann Arbor,MI
22.0,18,Chase Mummaua,QB,6-2,174,FR,Mechanicsville,VA
4.0,3,Stephon Mashaa,QB,6-1,205,JR,Marietta,GA
17.0,12,Stephen Calverta,QB,6-2,180,FR,Plantation,FL
20.0,13,Rudiger Yearicka,QB,6-3,195,FR,Matthews,NC
23.0,16,Spencer Jonesa,QB,6-3,185,FR,Nashville,TN
4.0,6,Tyre Givers-Wilsona,QB,6-3,200,FR,Chesapeake,VA
5.0,7,Greg Hankersona,QB,6-1,190,SR,Lauderdale Lakes,FL
