,No,Name,Pos,Ht,Wt,Class,Hometown,State
26.0,2,Albert Reida,RB,5-9,215,SR,Washington,DC
28.0,4,Taquan Mizzella,RB,5-10,195,SR,Virginia Beach,VA
35.0,10,Jordan Ellisa,RB,5-11,220,SO,Suwanee,GA
46.0,22,Daniel Hamma,RB,5-10,200,JR,Wytheville,VA
19.0,16,Coleman Foxa,RB,5-11,192,FR,Salem,VA
32.0,28,Shai McKenziea,RB,5-11,215,SO,Washington,PA
39.0,33,Deshawn McCleasea,RB,5-9,177,FR,Chesapeake,VA
40.0,34,Travon McMilliana,RB,6-0,200,SO,Woodbridge,VA
53.0,42,Marshawn Williamsa,RB,5-11,239,SO,Hampton,VA
60.0,48,D.J. Reida,RB,6-1,240,SO,Chester,VA
28.0,21,Mitchell Lewisa,RB,6-0,220,FR,Auburn,AL
30.0,22,Todd Macona,RB,5-10,210,JR,--,--
31.0,23,Frankie Hicksona,RB,5-8,200,FR,Lynchburg,VA
34.0,26,Joseph Dixona,RB,5-9,190,SO,--,--
41.0,33,Didier Monciona,RB,5-8,205,JR,MANSFIELD,CT
42.0,34,Carrington Mosleya,RB,5-11,235,JR,Brookneal,VA
1.0,3,Gerard Johnsona,RB,5-9,205,SR,Richmond,VA
17.0,20,Malik Buttsa,RB,5-9,180,FR,Virginia Beach,VA
19.0,22,Quintreil Chunga,RB,6-1,220,SO,Midlothian,VA
20.0,23,Shakeem Copelanda,RB,5-9,205,JR,Woodbridge,VA
27.0,30,Aaron Savagea,RB,5-9,210,SO,Baltimore,MD
29.0,32,Larry Bishopa,RB,5-11,230,JR,Roanoke,VA
30.0,33,Joseph Atkinsa,RB,5-10,195,FR,Virginia Beach,VA
39.0,43,Roy Adamsa,RB,5-9,195,SO,Richmond,VA
44.0,48,Tim Flooda,RB,5-9,215,JR,Newport News,VA
