,No,Name,Pos,Ht,Wt,Class,Hometown,State
10.0,--,CJ Eppsa,S,5-11,195,FR,Chesapeake,VA
18.0,--,Brenton Nelsona,S,5-11,170,FR,Miami,FL
27.0,3,Quin Blandinga,S,6-2,215,JR,Virginia Beach,VA
45.0,21,Juan Thornhilla,S,6-1,190,SO,Altavista,VA
48.0,25,Chris Sharpa,S,6-2,195,FR,Princeton,NJ
51.0,28,Wilfred Waheea,S,5-10,200,SR,Norfolk,VA
60.0,38,Kelvin Raineya,S,6-1,205,SR,Houston,TX
6.0,6,Mook Reynoldsa,S,6-1,184,SO,Greensboro,NC
20.0,17,Jahque Alleynea,S,6-1,175,SO,Virginia Beach,VA
23.0,19,Chuck Clarka,S,6-1,202,SR,Suffolk,VA
24.0,20,Deon Newsomea,S,5-11,187,JR,Hampton,VA
27.0,23,Der'Woun Greenea,S,5-11,194,SR,Portsmouth,VA
3.0,3,Rion Davisa,S,6-0,190,FR,Hopkins,SC
8.0,7,Ceneca Espinoza Jr.a,S,6-1,200,FR,Arlington,VA
18.0,12,Brandon Tillmona,S,6-1,210,FR,Lexington,SC
27.0,20,Solomon McGintya,S,6-2,220,JR,Navasota,TX
36.0,28,Corbin Jacksona,S,6-0,200,SO,Charlotte,NC
39.0,31,Elijah Bentona,S,6-1,190,FR,Forest,VA
45.0,38,Alpha Jalloha,S,6-1,200,SR,New Carrollton,MD
49.0,43,Benjamin Alexandera,S,6-2,175,FR,Spring Mills,PA
