,No,Name,Pos,Ht,Wt,Class,Hometown,State
3.0,--,Ethan Blundina,WR,6-3,190,FR,Charlottesville,VA
17.0,--,Dylan Lea,WR,5-7,165,SO,Ashburn,VA
24.0,--,Rambert Tyreea,WR,6-0,175,SO,Newport News,VA
30.0,5,Jamil Kamaraa,WR,6-2,205,SO,Virginia Beach,VA
32.0,7,Doni Dowlinga,WR,6-1,215,JR,Richmond,VA
33.0,8,Keeon Johnsona,WR,6-3,215,SR,Kannapolis,NC
36.0,11,David Eldridgea,WR,6-1,180,SO,Bealeton,VA
42.0,18,Ben Hogga,WR,6-0,170,SO,Lynchburg,VA
43.0,19,Andre Levronea,WR,6-3,225,JR,Laurel,MD
47.0,23,Warren Crafta,WR,6-2,195,FR,Roanoke,VA
49.0,26,Anthony Callowaya,WR,5-8,160,JR,Lynchburg,VA
56.0,33,Olamide Zaccheausa,WR,5-8,190,SO,Philadelphia,PA
66.0,44,Tanner Cowleya,WR,6-4,220,FR,Manasquan,NJ
89.0,80,Hasise Duboisa,WR,6-3,210,FR,Irvington,NJ
90.0,81,Joe Reeda,WR,6-3,210,FR,Charlotte Court House,VA
91.0,82,Braedon Uriea,WR,5-10,175,SO,Purcellville,VA
94.0,85,Cole Blackmana,WR,6-1,195,FR,Glen Allen,VA
95.0,86,Ross Gardnera,WR,6-3,210,SO,Mechanicsville,VA
97.0,88,Ryan Santoroa,WR,6-2,215,SR,Oak Hill,VA
0.0,1,Isaiah Forda,WR,6-2,190,JR,Jacksonville,FL
5.0,5,Cam Phillipsa,WR,6-1,198,JR,Laurel,MD
8.0,8,Phil Pattersona,WR,6-2,185,FR,Virginia Beach,VA
15.0,12,Henri Murphya,WR,5-11,185,JR,White Hall,AR
18.0,15,Jaylen Bradshawa,WR,6-1,198,SO,Chesapeake,VA
30.0,27,Dominic Bensona,WR,6-1,176,FR,Woodbridge,VA
36.0,30,Jordan Jeffersona,WR,5-10,168,FR,Goochland,VA
46.0,39,Sean Daniela,WR,5-10,175,FR,Chesapeake,VA
49.0,41,Kevin Henrya,WR,6-0,170,FR,Greensboro,NC
95.0,81,Samuel Denmarka,WR,6-0,182,FR,Hanahan,SC
97.0,83,Eric Kumaha,WR,6-2,203,FR,Woodbridge,VA
99.0,86,C.J. Carrolla,WR,5-7,165,SO,Olney,MD
100.0,87,Bodhie Longa,WR,6-3,200,FR,Richmond,VA
102.0,88,Divine Deabloa,WR,6-3,210,FR,Winston-salem,NC
104.0,89,Devin Wilsona,WR,6-4,190,JR,Mckees Rocks,PA
1.0,1,Zac Parkera,WR,5-9,185,SR,Reston,VA
9.0,7,Damian Kinga,WR,5-11,175,SO,--,--
11.0,8,Dante Shellsa,WR,6-1,180,SR,Camden,DE
14.0,11,Antonio Gandy-Goldena,WR,6-4,200,FR,Dallas,GA
16.0,11,Lionell McConnella,WR,5-10,180,FR,Allen,TX
25.0,18,Josh Newmana,WR,5-10,190,FR,Gainesville,VA
37.0,29,David Jeremaiha,WR,0-0,0,FR,--,--
77.0,80,Joshua Cruza,WR,6-1,185,FR,Charlotte,NC
78.0,81,Marquis Fitzgeralda,WR,6-1,190,JR,Farmville,VA
79.0,82,B.J. Farrowa,WR,6-2,190,SO,Lynchburg,VA
80.0,83,Josh Tullya,WR,5-10,175,FR,Vancouver,WA
81.0,85,Kyle Carringtona,WR,6-1,190,FR,Toms River,NJ
82.0,87,Cephas Reddicka,WR,5-8,175,SO,Woodbridge,VA
83.0,88,Isaac Browna,WR,6-3,190,JR,Overton,NE
2.0,4,James Churcha,WR,6-1,200,SR,Virginia Beach,VA
3.0,5,Marcus Taylora,WR,5-8,160,SO,Highland Springs,VA
12.0,15,Joel Caleba,WR,6-2,210,SR,Richmond,VA
13.0,16,Kinan Humphreya,WR,5-9,180,FR,Mcdonough,GA
16.0,19,Johnathan Spencera,WR,5-11,180,FR,Apex,NC
18.0,21,George Waheea,WR,6-1,180,FR,Norfolk,VA
22.0,25,D.J. Cooka,WR,6-1,195,FR,Richmond,VA
68.0,80,Antonio Perrymana,WR,6-2,180,JR,Jacksonville,FL
71.0,83,Justin Smitha,WR,6-2,165,FR,Richmond,VA
72.0,84,Chuma Awannaa,WR,6-3,205,FR,Chesapeake,VA
73.0,85,Floyd Jonesa,WR,5-9,170,SO,Hampton,VA
74.0,86,TreVaughn Sneeda,WR,5-10,185,FR,Portsmouth,VA
75.0,87,Michael Curtisa,WR,6-1,165,SO,Newport News,VA
76.0,88,Marcque Ellingtona,WR,6-5,190,FR,Neptune,NJ
